pcode,age,gender,ses,gradelevel,ov1,ov2,ov3,ov4,ov5,ov6,ov7,ov8,ov
MVJ08001,13,female,middle,1,1,1.0,1,1.0,1.0,2,2.0,1.0,10.0
MVJ08002,13,male,middle,1,2,5.0,1,1.0,1.0,1,1.0,1.0,13.0
MVJ08003,13,male,middle,1,1,6.0,1,1.0,1.0,1,1.0,1.0,13.0
MVJ08004,13,female,middle,1,1,2.0,1,1.0,1.0,2,1.0,1.0,10.0
MVJ08005,13,female,middle,1,4,1.0,1,1.0,2.0,1,3.0,1.0,14.0
MVJ09001,14,male,middle,2,1,1.0,1,1.0,1.0,1,1.0,1.0,8.0
MVJ09002,14,female,middle,2,1,1.0,1,1.0,1.0,1,1.0,1.0,8.0
MVJ09003,14,female,middle,2,1,1.0,1,1.0,1.0,1,1.0,1.0,8.0
MVJ09004,15,male,middle,2,1,1.0,1,1.0,1.0,1,1.0,1.0,8.0
MVJ09005,14,female,middle,2,1,1.0,1,1.0,1.0,1,1.0,1.0,8.0
MVJ09006,14,female,middle,2,1,2.0,1,1.0,1.0,1,2.0,1.0,10.0
MVJ09007,15,male,middle,2,1,3.0,2,1.0,1.0,1,1.0,1.0,11.0
MVJ09008,15,male,middle,2,1,1.0,1,1.0,1.0,1,1.0,1.0,8.0
MVJ09009,15,male,middle,2,3,2.0,4,3.0,1.0,4,3.0,1.0,21.0
MVJ09010,14,female,middle,2,1,2.0,1,1.0,1.0,2,1.0,1.0,10.0
MVJ09011,14,male,middle,2,1,2.0,1,1.0,1.0,1,1.0,1.0,9.0
MVJ09012,13,female,middle,2,1,2.0,1,1.0,1.0,1,1.0,1.0,9.0
MVJ10001,14,female,middle,2,2,1.0,1,1.0,1.0,1,1.0,3.0,11.0
MVJ10002,15,female,middle,2,1,1.0,2,1.0,1.0,1,1.0,1.0,9.0
HVS06023,13,male,middle,1,1,1.0,1,1.0,1.0,1,1.0,1.0,8.0
HVS07005,13,female,middle,1,2,1.0,1,2.0,2.0,1,1.0,1.0,11.0
HVS07017,13,male,high,1,1,1.0,1,1.0,1.0,1,1.0,1.0,8.0
HVS07019,13,male,middle,1,1,1.0,1,1.0,1.0,1,1.0,1.0,8.0
HVS07025,13,male,middle,1,1,,1,1.0,1.0,1,1.0,2.0,
HVS08001,13,male,middle,1,1,1.0,1,1.0,1.0,1,1.0,1.0,8.0
HVS08003,13,female,middle,1,1,2.0,1,1.0,1.0,1,2.0,1.0,10.0
HVS08004,13,female,middle,1,1,1.0,1,1.0,1.0,1,1.0,1.0,8.0
HVS08007,13,female,middle,1,1,1.0,1,1.0,1.0,1,1.0,1.0,8.0
HVS08008,13,female,middle,1,2,3.0,2,5.0,5.0,6,,2.0,
HVS08009,13,female,middle,1,3,2.0,1,1.0,2.0,2,1.0,2.0,14.0
HVS08010,13,female,middle,1,2,1.0,1,1.0,1.0,1,2.0,1.0,10.0
HVS08011,13,female,middle,1,2,1.0,1,1.0,2.0,2,1.0,1.0,11.0
HVS08013,13,male,middle,1,1,1.0,1,1.0,1.0,1,1.0,1.0,8.0
HVS08014,13,male,middle,1,1,3.0,1,1.0,2.0,1,1.0,1.0,11.0
HVS08015,13,male,middle,1,1,2.0,1,1.0,2.0,1,1.0,1.0,10.0
HVS08016,13,male,,1,1,4.0,1,1.0,1.0,2,1.0,1.0,12.0
HVS08018,13,male,middle,1,2,1.0,1,2.0,1.0,2,1.0,1.0,11.0
HVS08019,13,male,middle,1,2,1.0,1,1.0,1.0,2,3.0,4.0,15.0
HVS08020,13,male,low,1,1,2.0,1,1.0,1.0,1,1.0,1.0,9.0
HVS08021,13,female,high,1,1,1.0,1,1.0,1.0,1,1.0,1.0,8.0
HVS08022,13,female,middle,1,1,2.0,1,2.0,1.0,1,1.0,1.0,10.0
HVS08023,13,female,low,1,1,1.0,1,1.0,2.0,1,1.0,1.0,9.0
HVS08024,13,female,middle,1,1,2.0,3,,1.0,4,1.0,5.0,
HVS08025,13,female,middle,1,1,2.0,1,1.0,1.0,2,1.0,1.0,10.0
HVS08026,13,female,middle,1,1,1.0,1,1.0,1.0,1,1.0,1.0,8.0
HVS09001,14,male,middle,2,3,2.0,1,1.0,2.0,2,5.0,1.0,17.0
HVS09002,14,male,middle,2,1,1.0,1,2.0,1.0,1,1.0,1.0,9.0
HVS09003,14,male,middle,2,2,1.0,1,1.0,2.0,3,1.0,1.0,12.0
HVS09004,13,male,middle,2,2,1.0,5,2.0,3.0,1,5.0,,
HVS09005,14,male,middle,2,1,1.0,1,1.0,1.0,1,1.0,1.0,8.0
HVS09006,14,male,middle,2,1,1.0,1,1.0,1.0,1,1.0,1.0,8.0
HVS09007,14,male,middle,2,1,2.0,1,1.0,1.0,3,2.0,1.0,12.0
HVS09008,14,male,middle,2,4,2.0,1,1.0,,5,1.0,1.0,
HVS09009,13,male,middle,2,1,1.0,1,1.0,1.0,1,1.0,1.0,8.0
HVS09010,13,male,middle,2,6,3.0,1,2.0,1.0,1,1.0,2.0,17.0
HVS09011,14,female,middle,2,1,1.0,1,1.0,1.0,1,1.0,1.0,8.0
HVS09012,14,female,middle,2,1,1.0,1,1.0,1.0,1,1.0,1.0,8.0
HVS09013,14,male,middle,2,1,1.0,1,1.0,1.0,1,1.0,1.0,8.0
HVS09014,14,female,middle,2,1,1.0,1,1.0,1.0,1,1.0,1.0,8.0
HVS09015,13,female,middle,2,1,1.0,2,1.0,1.0,1,1.0,1.0,9.0
HVS09016,14,female,middle,2,1,1.0,1,1.0,1.0,1,1.0,1.0,8.0
HVS09017,14,female,middle,2,1,1.0,1,1.0,1.0,1,1.0,1.0,8.0
HVS09018,13,female,middle,2,2,3.0,1,1.0,1.0,1,2.0,1.0,12.0
HVS09019,13,female,middle,2,2,1.0,1,1.0,1.0,1,1.0,1.0,9.0
HVS09020,14,female,middle,2,1,1.0,1,1.0,1.0,1,1.0,1.0,8.0
HVS09021,13,male,middle,2,1,1.0,1,1.0,1.0,1,1.0,2.0,9.0
HVS09022,14,male,middle,2,1,1.0,1,2.0,6.0,1,6.0,1.0,19.0
HVS09023,14,male,middle,2,1,1.0,1,1.0,1.0,1,1.0,1.0,8.0
HVS10001,15,female,middle,2,1,1.0,1,1.0,1.0,1,1.0,1.0,8.0
